candidate,run_id,run_dir,status,r_col,trades_scoreboard,expectancy_scoreboard,pf_scoreboard,winrate_scoreboard,trades_calc,expectancy_calc,median_r_calc,pf_calc,winrate_calc,sum_r_calc,min_r_calc,p05_r_calc,p25_r_calc,p75_r_calc,p95_r_calc,max_r_calc,delta_expectancy,delta_pf,delta_trades,delta_winrate,expectancy_match,pf_match,trades_match,winrate_match,pipeline_bug_suspected,note
v4b_orb_01,20260220_151326,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_151326,ok,r_multiple,118.0,0.0257607627118644,1.1839700348238054,0.5169491525423728,118.0,0.02576076271186441,0.016795,1.1839700348238054,0.5169491525423728,3.0397700000000003,-1.06728,-0.6568585,-0.21428999999999998,0.2460525,0.6653984999999972,0.97766,1.0408340855860843e-17,0.0,0.0,0.0,True,True,True,True,False,
v4b_orb_02,20260220_153447,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_153447,ok,r_multiple,118.0,0.0224678813559322,1.1604539804081295,0.5169491525423728,118.0,0.022467881355932216,0.016795,1.1604539804081297,0.5169491525423728,2.6512100000000016,-1.06728,-0.6568585,-0.21428999999999998,0.2460525,0.6152055,1.43841,1.734723475976807e-17,2.220446049250313e-16,0.0,0.0,True,True,True,True,False,
v4b_orb_03,20260220_153001,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260220_153001,ok,r_multiple,78.0,-0.0037667948717948,0.9914354466577368,0.5256410256410257,78.0,-0.003766794871794893,0.357625,0.9914354466577369,0.5256410256410257,-0.2938100000000017,-1.16473,-1.1551135000000001,-1.1114199999999999,0.8739325,0.913628,0.9569,-9.324138683375338e-17,1.1102230246251565e-16,0.0,0.0,True,True,True,True,False,
v4b_orb_04,nan,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan,missing_trades,,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,Missing trades.csv: C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan/trades.csv
v4b_orb_05,nan,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan,missing_trades,,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,Missing trades.csv: C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan/trades.csv
v4b_orb_06,nan,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan,missing_trades,,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,Missing trades.csv: C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan/trades.csv
v4b_orb_07,nan,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan,missing_trades,,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,Missing trades.csv: C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan/trades.csv
v4b_orb_08,nan,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan,missing_trades,,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,Missing trades.csv: C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/nan/trades.csv
