candidate,run_id,run_dir,status,r_col,trades_scoreboard,expectancy_scoreboard,pf_scoreboard,winrate_scoreboard,trades_calc,expectancy_calc,median_r_calc,pf_calc,winrate_calc,sum_r_calc,min_r_calc,p05_r_calc,p25_r_calc,p75_r_calc,p95_r_calc,max_r_calc,delta_expectancy,delta_pf,delta_trades,delta_winrate,expectancy_match,pf_match,trades_match,winrate_match,pipeline_bug_suspected,note
__baseline__,20260221_204030,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_204030,ok,r_multiple,3.0,0.9960666666666668,18.876286192869102,0.6666666666666666,3.0,0.9960666666666667,1.31869,18.876286192869106,0.6666666666666666,2.9882,-0.16716,-0.018575000000000008,0.575765,1.57768,1.784872,1.83667,-1.1102230246251565e-16,3.552713678800501e-15,0.0,0.0,True,True,True,True,False,
mr_session_shock_london_t25_tp08,20260221_204455,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_204455,ok,r_multiple,1.0,0.63822,inf,1.0,1.0,0.63822,0.63822,inf,1.0,0.63822,0.63822,0.63822,0.63822,0.63822,0.63822,0.63822,0.0,,0.0,0.0,True,False,True,True,True,
mr_session_shock_nyopen_t25_tp08,20260221_205408,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_205408,ok,r_multiple,1.0,0.63822,inf,1.0,1.0,0.63822,0.63822,inf,1.0,0.63822,0.63822,0.63822,0.63822,0.63822,0.63822,0.63822,0.0,,0.0,0.0,True,False,True,True,True,
mr_session_shock_uspm_t25_tp08,20260221_210316,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_210316,ok,r_multiple,1.0,0.63822,inf,1.0,1.0,0.63822,0.63822,inf,1.0,0.63822,0.63822,0.63822,0.63822,0.63822,0.63822,0.63822,0.0,,0.0,0.0,True,False,True,True,True,
mr_session_shock_london_t30_tp12,20260221_204932,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_204932,empty_trades,,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,trades.csv empty
mr_session_shock_nyopen_t30_tp12,20260221_205843,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_205843,empty_trades,,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,trades.csv empty
mr_session_shock_uspm_t30_tp12,20260221_210750,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_210750,empty_trades,,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,trades.csv empty
