candidate,run_id,run_dir,status,r_col,trades_scoreboard,expectancy_scoreboard,pf_scoreboard,winrate_scoreboard,trades_calc,expectancy_calc,median_r_calc,pf_calc,winrate_calc,sum_r_calc,min_r_calc,p05_r_calc,p25_r_calc,p75_r_calc,p95_r_calc,max_r_calc,delta_expectancy,delta_pf,delta_trades,delta_winrate,expectancy_match,pf_match,trades_match,winrate_match,pipeline_bug_suspected,note
__baseline__,20260221_181919,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_181919,ok,r_multiple,2.0,-1.07969,0.0,0.0,2.0,-1.07969,-1.07969,0.0,0.0,-2.15938,-1.08277,-1.082462,-1.0812300000000001,-1.07815,-1.076918,-1.07661,0.0,0.0,0.0,0.0,True,True,True,True,False,
config_edge_mr_vtm_thr22_v2,20260221_182138,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_182138,ok,r_multiple,14.0,-0.2229114285714286,0.5185149185454668,0.2857142857142857,14.0,-0.22291142857142862,-0.06795999999999999,0.5185149185454668,0.2857142857142857,-3.1207600000000006,-1.10745,-1.0787395,-1.03238,0.1675,1.2120389999999999,1.70665,-2.7755575615628914e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_tf_simple_core_v1,20260221_182216,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_182216,ok,r_multiple,22.0,-0.2894131818181817,0.6219866821503293,0.2727272727272727,22.0,-0.28941318181818176,-1.035385,0.6219866821503293,0.2727272727272727,-6.367089999999999,-1.1018,-1.1009665,-1.0600825,1.0275525,1.7640145,1.7697,-5.551115123125783e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_tf_simple_entry_loose_v3,20260221_182257,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_182257,ok,r_multiple,22.0,-0.2894131818181817,0.6219866821503293,0.2727272727272727,22.0,-0.28941318181818176,-1.035385,0.6219866821503293,0.2727272727272727,-6.367089999999999,-1.1018,-1.1009665,-1.0600825,1.0275525,1.7640145,1.7697,-5.551115123125783e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_tf_simple_rr_compact_v4,20260221_182417,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_182417,ok,r_multiple,23.0,-0.2900647826086956,0.6036817877503837,0.3043478260869565,23.0,-0.2900647826086956,-1.0352,0.6036817877503837,0.30434782608695654,-6.6714899999999995,-1.1018,-1.089623,-1.06307,1.43554,1.463989,1.4697,0.0,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
config_edge_tf_simple_freq_v2,20260221_182337,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_182337,ok,r_multiple,26.0,-0.2978349999999999,0.6120943531666538,0.2692307692307692,26.0,-0.29783499999999996,-1.0380500000000001,0.6120943531666538,0.2692307692307692,-7.743709999999999,-1.1018,-1.0889525,-1.05817,1.0275525,1.7639125,1.7697,-5.551115123125783e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_mr_vtm_stop12_v3,20260221_182059,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_182059,ok,r_multiple,20.0,-0.299593,0.3837557427140681,0.2,20.0,-0.299593,-0.07932,0.38375574271406815,0.2,-5.99186,-1.0906,-1.089593,-1.032305,-0.0193775,1.2303005,1.42221,0.0,5.551115123125783e-17,0.0,0.0,True,True,True,True,False,
config_edge_mr_vtm_core_v1,20260221_181941,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_181941,ok,r_multiple,20.0,-0.3195105,0.412005189642798,0.2,20.0,-0.3195105,-0.559375,0.412005189642798,0.2,-6.39021,-1.10872,-1.1075135,-1.0387675,-0.036785,1.4763605000000002,1.70665,0.0,0.0,0.0,0.0,True,True,True,True,False,
config_edge_mr_vtm_hold4_v4,20260221_182020,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_182020,ok,r_multiple,20.0,-0.3195105,0.412005189642798,0.2,20.0,-0.3195105,-0.559375,0.412005189642798,0.2,-6.39021,-1.10872,-1.1075135,-1.0387675,-0.036785,1.4763605000000002,1.70665,0.0,0.0,0.0,0.0,True,True,True,True,False,
