candidate,run_id,run_dir,status,r_col,trades_scoreboard,expectancy_scoreboard,pf_scoreboard,winrate_scoreboard,trades_calc,expectancy_calc,median_r_calc,pf_calc,winrate_calc,sum_r_calc,min_r_calc,p05_r_calc,p25_r_calc,p75_r_calc,p95_r_calc,max_r_calc,delta_expectancy,delta_pf,delta_trades,delta_winrate,expectancy_match,pf_match,trades_match,winrate_match,pipeline_bug_suspected,note
config_edge_mr_vtm_thr22_v2,20260221_145350,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_145350,ok,r_multiple,2.0,0.384945,5.825383892196804,0.5,2.0,0.38494500000000004,0.38494500000000004,5.825383892196804,0.5,0.7698900000000001,-0.15955,-0.10510049999999999,0.11269750000000003,0.6571925000000001,0.8749905,0.92944,5.551115123125783e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_mr_vtm_core_v1,20260221_142524,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_142524,ok,r_multiple,4.0,-0.1263325,0.6477972079148574,0.25,4.0,-0.12633250000000001,-0.157845,0.6477972079148574,0.25,-0.5053300000000001,-1.11908,-0.9751505,-0.3994325,0.115255,0.7666029999999997,0.92944,-2.7755575615628914e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_mr_vtm_hold4_v4,20260221_143447,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_143447,ok,r_multiple,4.0,-0.1532975,0.5726213957637809,0.25,4.0,-0.15329750000000003,-0.157845,0.5726213957637809,0.25,-0.6131900000000001,-1.11908,-0.9751505,-0.3994325,0.08828999999999998,0.6749219999999996,0.82158,-2.7755575615628914e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_mr_vtm_stop12_v3,20260221_144418,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_144418,ok,r_multiple,13.0,-0.24445,0.4401911684138765,0.1538461538461538,13.0,-0.24445000000000003,-0.16201,0.4401911684138765,0.15384615384615385,-3.1778500000000003,-1.16365,-1.163458,-1.14675,-0.13011,1.1544339999999988,1.72429,-2.7755575615628914e-17,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
config_edge_tf_simple_core_v1,20260221_150309,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_150309,ok,r_multiple,29.0,-0.3198806896551723,0.5876648011318556,0.2758620689655172,29.0,-0.31988068965517236,-1.13482,0.5876648011318556,0.27586206896551724,-9.276539999999999,-1.16616,-1.165178,-1.15599,1.63893,1.66113,1.68471,-5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
config_edge_tf_simple_entry_loose_v3,20260221_151316,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_151316,ok,r_multiple,29.0,-0.3198806896551723,0.5876648011318556,0.2758620689655172,29.0,-0.31988068965517236,-1.13482,0.5876648011318556,0.27586206896551724,-9.276539999999999,-1.16616,-1.165178,-1.15599,1.63893,1.66113,1.68471,-5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
config_edge_tf_simple_freq_v2,20260221_152326,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_152326,ok,r_multiple,30.0,-0.3469076666666666,0.5593943001522421,0.2666666666666666,30.0,-0.3469076666666666,-1.128765,0.5593943001522421,0.26666666666666666,-10.407229999999998,-1.16616,-1.165134,-1.1537600000000001,1.1792725,1.6611075,1.68471,0.0,0.0,0.0,5.551115123125783e-17,True,True,True,True,False,
config_edge_tf_simple_rr_compact_v4,20260221_153339,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_153339,ok,r_multiple,29.0,-0.4026393103448276,0.4809866132208946,0.2758620689655172,29.0,-0.4026393103448276,-1.13482,0.48098661322089464,0.27586206896551724,-11.67654,-1.16616,-1.165178,-1.15599,1.33893,1.36113,1.38471,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,True,True,True,True,False,
