run_id,hour_utc,trades,expectancy_R,pf,winrate
20260221_145350,9,1,0.92944,inf,1.0
20260221_145350,10,1,-0.15955,0.0,0.0
20260221_142524,9,2,0.38665000000000005,5.95260663507109,0.5
20260221_142524,10,2,-0.6393150000000001,0.0,0.0
20260221_143447,9,2,0.33272,5.261816318688356,0.5
20260221_143447,10,2,-0.6393150000000001,0.0,0.0
20260221_144418,2,1,-0.16577,0.0,0.0
20260221_144418,5,1,-1.16365,0.0,0.0
20260221_144418,8,1,-1.16116,0.0,0.0
20260221_144418,9,5,-0.16435399999999994,0.48520328259099177,0.2
20260221_144418,10,2,-0.13061999999999999,0.0,0.0
20260221_144418,11,1,1.72429,inf,1.0
20260221_144418,12,1,-0.16522,0.0,0.0
20260221_144418,13,1,-1.16333,0.0,0.0
20260221_150309,8,4,-0.4505525,0.4771808186591628,0.25
20260221_150309,9,4,-0.44383500000000004,0.4800235482255357,0.25
20260221_150309,10,11,-0.2956063636363636,0.6044327011156568,0.2727272727272727
20260221_150309,11,4,-0.4442100000000001,0.4831311632777729,0.25
20260221_150309,12,1,-1.14515,0.0,0.0
20260221_150309,13,3,-0.015926666666666683,0.9717982316346164,0.3333333333333333
20260221_150309,15,2,0.26122500000000004,1.4587482219061167,0.5
20260221_151316,8,4,-0.4505525,0.4771808186591628,0.25
20260221_151316,9,4,-0.44383500000000004,0.4800235482255357,0.25
20260221_151316,10,11,-0.2956063636363636,0.6044327011156568,0.2727272727272727
20260221_151316,11,4,-0.4442100000000001,0.4831311632777729,0.25
20260221_151316,12,1,-1.14515,0.0,0.0
20260221_151316,13,3,-0.015926666666666683,0.9717982316346164,0.3333333333333333
20260221_151316,15,2,0.26122500000000004,1.4587482219061167,0.5
20260221_152326,8,4,-0.4505525,0.4771808186591628,0.25
20260221_152326,9,4,-0.44383500000000004,0.4800235482255357,0.25
20260221_152326,10,12,-0.3645316666666667,0.5318003463563018,0.25
20260221_152326,11,4,-0.4442100000000001,0.4831311632777729,0.25
20260221_152326,12,1,-1.14515,0.0,0.0
20260221_152326,13,3,-0.01858666666666664,0.9670880995384307,0.3333333333333333
20260221_152326,15,2,0.26122500000000004,1.4587482219061167,0.5
20260221_153339,8,4,-0.5255525000000001,0.3901511415392649,0.25
20260221_153339,9,4,-0.518835,0.39215703503237875,0.25
20260221_153339,10,11,-0.3774245454545454,0.49494724625833464,0.2727272727272727
20260221_153339,11,4,-0.5192100000000002,0.3958635133955842,0.25
20260221_153339,12,1,-1.14515,0.0,0.0
20260221_153339,13,3,-0.11592666666666662,0.7947255964396596,0.3333333333333333
20260221_153339,15,2,0.11122500000000002,1.1953269058532217,0.5
