run_id,year,trades,expectancy_R,pf,winrate
20260221_145350,2023,2,0.38494500000000004,5.825383892196804,0.5
20260221_142524,2023,4,-0.12633250000000001,0.6477972079148574,0.25
20260221_143447,2023,4,-0.15329750000000003,0.5726213957637809,0.25
20260221_144418,2023,13,-0.24445000000000003,0.4401911684138765,0.15384615384615385
20260221_150309,2023,29,-0.31988068965517236,0.5876648011318556,0.27586206896551724
20260221_151316,2023,29,-0.31988068965517236,0.5876648011318556,0.27586206896551724
20260221_152326,2023,30,-0.3469076666666666,0.5593943001522421,0.26666666666666666
20260221_153339,2023,29,-0.4026393103448276,0.48098661322089464,0.27586206896551724
