candidate,run_id,status,pf,expectancy_R,trades,winrate,ci_low,ci_high,crosses_zero,retention_vs_b4_pct,gate_pf_gt_1,gate_exp_gt_0,gate_ci_not_cross_zero,gate_trades_ge_100,gate_all,note,config
config_edge_mr_vtm_thr22_v2,20260221_145350,ok,5.825383892196804,0.38494500000000004,2,0.5,-0.15955,0.92944,True,33.333333333333336,True,True,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates2/config_edge_mr_vtm_thr22_v2.yaml
config_edge_mr_vtm_core_v1,20260221_142524,ok,0.6477972079148574,-0.12633250000000001,4,0.25,-0.8783450000000002,0.6571925000000001,True,66.66666666666667,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates2/config_edge_mr_vtm_core_v1.yaml
config_edge_mr_vtm_hold4_v4,20260221_143447,ok,0.5726213957637809,-0.15329750000000003,4,0.25,-0.8783450000000002,0.5762975,True,66.66666666666667,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates2/config_edge_mr_vtm_hold4_v4.yaml
config_edge_mr_vtm_stop12_v3,20260221_144418,ok,0.4401911684138765,-0.24445000000000003,13,0.15384615384615385,-0.6909360576923077,0.2014848846153845,True,216.66666666666666,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates2/config_edge_mr_vtm_stop12_v3.yaml
config_edge_tf_simple_core_v1,20260221_150309,ok,0.5876648011318556,-0.31988068965517236,29,0.27586206896551724,-0.7603623448275864,0.1427798793103446,True,483.3333333333333,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates2/config_edge_tf_simple_core_v1.yaml
config_edge_tf_simple_entry_loose_v3,20260221_151316,ok,0.5876648011318556,-0.31988068965517236,29,0.27586206896551724,-0.7603623448275864,0.1427798793103446,True,483.3333333333333,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates2/config_edge_tf_simple_entry_loose_v3.yaml
config_edge_tf_simple_freq_v2,20260221_152326,ok,0.5593943001522421,-0.3469076666666666,30,0.26666666666666666,-0.7775428916666667,0.1094674166666665,True,500.0,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates2/config_edge_tf_simple_freq_v2.yaml
config_edge_tf_simple_rr_compact_v4,20260221_153339,ok,0.48098661322089464,-0.4026393103448276,29,0.27586206896551724,-0.7986609568965519,0.0093951293103447,True,483.3333333333333,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates2/config_edge_tf_simple_rr_compact_v4.yaml
