run_id,window,scenario,factor,pf,expectancy_R,trades,winrate,ci_low,ci_high,crosses_zero
20260221_073415,,BASE,1.0,2.7700071541388103,0.38302001035685057,6,0.6666666666666666,-0.4068810973128946,1.209589706035444,True
20260221_073415,,+20% COST,1.2,2.562538383218745,0.3533366415934205,6,0.6666666666666666,-0.4361391801740388,1.1775861627753348,True
20260221_073415,,+50% COST,1.5,2.2827980240550256,0.3088115884482751,6,0.6666666666666666,-0.48002630446575506,1.129580847885171,True
20260221_075421,,BASE,1.0,1.3211534824763542,0.18281318355740217,2,0.5,-1.1384786,1.5041049671148043,True
20260221_075421,,+20% COST,1.2,1.2615276517103544,0.1524934303694977,2,0.5,-1.1661744322041045,1.4711612929431,True
20260221_075421,,+50% COST,1.5,1.1772165101338916,0.10701380058764098,2,0.5,-1.2077181805102615,1.4217457816855434,True
20260221_063806,,BASE,1.0,0.6338676711758817,-0.09459022678772888,140,0.45,-0.18029880764746148,-0.0021497105280338185,False
20260221_063806,,+20% COST,1.2,0.6086062455187913,-0.10298688121147499,140,0.45,-0.18871896829969828,-0.010555525522559063,False
20260221_063806,,+50% COST,1.5,0.5725739043543991,-0.11558186284709414,140,0.42857142857142855,-0.20080952373276661,-0.022772438414447992,False
20260221_064929,,BASE,1.0,0.6477937977107912,-0.12633376945330974,4,0.25,-0.8783434819764355,0.657187835489078,True
20260221_064929,,+20% COST,1.2,0.5895150724422508,-0.15616127160055782,4,0.25,-0.9040122913395974,0.6249432707850096,True
20260221_064929,,+50% COST,1.5,0.5135991883389388,-0.20090252482143006,4,0.25,-0.9425155053843399,0.5765764237289069,True
20260221_074352,,BASE,1.0,0.7858590325777449,-0.16005141082634772,127,0.3464566929133858,-0.3955340035421988,0.08975274355933613,True
20260221_074352,,+20% COST,1.2,0.7459697803950027,-0.19569277918803804,127,0.3464566929133858,-0.43082260087207963,0.05358607812998624,True
20260221_074352,,+50% COST,1.5,0.6904000221721666,-0.24915483173057357,127,0.3464566929133858,-0.4852698822729403,-0.0006778773230005805,False
