candidate,run_id,run_dir,status,r_col,trades_scoreboard,expectancy_scoreboard,pf_scoreboard,winrate_scoreboard,trades_calc,expectancy_calc,median_r_calc,pf_calc,winrate_calc,sum_r_calc,min_r_calc,p05_r_calc,p25_r_calc,p75_r_calc,p95_r_calc,max_r_calc,delta_expectancy,delta_pf,delta_trades,delta_winrate,expectancy_match,pf_match,trades_match,winrate_match,pipeline_bug_suspected,note
config_edge_vtm_reversal_fast_v1,20260221_075421,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_075421,ok,r_multiple,2.0,0.18281,1.321147494905488,0.5,2.0,0.18281000000000003,0.18281000000000003,1.321147494905488,0.5,0.36562000000000006,-1.13848,-1.006351,-0.477835,0.8434550000000001,1.3719709999999998,1.5041,2.7755575615628914e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_v4_orb_wide_v1,20260221_063806,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_063806,ok,r_multiple,140.0,-0.0945902857142857,0.6338671705979854,0.45,140.0,-0.09459028571428571,-0.06007,0.6338671705979854,0.45,-13.24264,-1.09206,-1.0600625,-0.382985,0.20925,0.8711244999999992,1.35648,-1.3877787807814457e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_vtm_mr_balanced_v1,20260221_064929,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_064929,ok,r_multiple,4.0,-0.1263325,0.6477972079148574,0.25,4.0,-0.12633250000000001,-0.157845,0.6477972079148574,0.25,-0.5053300000000001,-1.11908,-0.9751505,-0.3994325,0.115255,0.7666029999999997,0.92944,-2.7755575615628914e-17,0.0,0.0,0.0,True,True,True,True,False,
config_edge_v3_trend_lite_v1,20260221_074352,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_074352,ok,r_multiple,127.0,-0.1600515748031496,0.7858588040085861,0.3464566929133858,127.0,-0.1600515748031496,-1.15243,0.7858588040085861,0.3464566929133858,-20.32655,-1.22056,-1.217774,-1.18975,1.78852,1.845224,1.89818,0.0,0.0,0.0,0.0,True,True,True,True,False,
config_edge_vtm_mr_strict_v1,20260221_070041,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/outputs/runs/20260221_070041,empty_trades,,0.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,trades.csv empty
