candidate,run_id,status,pf,expectancy_R,trades,winrate,ci_low,ci_high,crosses_zero,retention_vs_b4_pct,gate_pf_gt_1,gate_exp_gt_0,gate_ci_not_cross_zero,gate_trades_ge_100,gate_all,note,config
config_edge_vtm_reversal_fast_v1,20260221_075421,ok,1.321147494905488,0.18281000000000003,2,0.5,-1.13848,1.5041,True,33.333333333333336,True,True,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates/config_edge_vtm_reversal_fast_v1.yaml
config_edge_v4_orb_wide_v1,20260221_063806,ok,0.6338671705979854,-0.09459028571428571,140,0.45,-0.1802990482142857,-0.0021500357142857,False,2333.3333333333335,False,False,True,True,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates/config_edge_v4_orb_wide_v1.yaml
config_edge_vtm_mr_balanced_v1,20260221_064929,ok,0.6477972079148574,-0.12633250000000001,4,0.25,-0.8783450000000002,0.6571925000000001,True,66.66666666666667,False,False,False,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates/config_edge_vtm_mr_balanced_v1.yaml
config_edge_v3_trend_lite_v1,20260221_074352,ok,0.7858588040085861,-0.1600515748031496,127,0.3464566929133858,-0.3955340177165354,0.0897520393700786,True,2116.6666666666665,False,False,False,True,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates/config_edge_v3_trend_lite_v1.yaml
config_edge_vtm_mr_strict_v1,20260221_070041,ok,,,0,,,,False,0.0,False,False,True,False,False,,C:/Users/Sergi/OneDrive/Escritorio/App Oro Cork/configs/edge_discovery_candidates/config_edge_vtm_mr_strict_v1.yaml
